"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-29"
"TIME","10:10:24"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.150","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"1","10.000E+03","6.594648E+03","-89.086"
"2","10.020E+03","6.582149E+03","-89.086"
"3","10.040E+03","6.569672E+03","-89.093"
"4","10.061E+03","6.556143E+03","-89.084"
"5","10.081E+03","6.542087E+03","-89.074"
"6","10.101E+03","6.529447E+03","-89.093"
"7","10.121E+03","6.518749E+03","-89.089"
"8","10.142E+03","6.503148E+03","-89.088"
"9","10.162E+03","6.492451E+03","-89.090"
"10","10.183E+03","6.478273E+03","-89.096"
"11","10.203E+03","6.464906E+03","-89.072"
"12","10.224E+03","6.451808E+03","-89.090"
"13","10.244E+03","6.437470E+03","-89.082"
"14","10.265E+03","6.425060E+03","-89.085"
"15","10.286E+03","6.412289E+03","-89.080"
"16","10.306E+03","6.400068E+03","-89.073"
"17","10.327E+03","6.387775E+03","-89.086"
"18","10.348E+03","6.373740E+03","-89.087"
"19","10.369E+03","6.360869E+03","-89.084"
"20","10.390E+03","6.348116E+03","-89.084"
"21","10.411E+03","6.335972E+03","-89.079"
"22","10.432E+03","6.322456E+03","-89.088"
"23","10.453E+03","6.310424E+03","-89.092"
"24","10.474E+03","6.297863E+03","-89.087"
"25","10.495E+03","6.285800E+03","-89.084"
"26","10.516E+03","6.272637E+03","-89.080"
"27","10.537E+03","6.259842E+03","-89.079"
"28","10.558E+03","6.247360E+03","-89.088"
"29","10.579E+03","6.236298E+03","-89.086"
"30","10.601E+03","6.223687E+03","-89.082"
"31","10.622E+03","6.211111E+03","-89.098"
"32","10.644E+03","6.198036E+03","-89.092"
"33","10.665E+03","6.185389E+03","-89.083"
"34","10.686E+03","6.173285E+03","-89.097"
"35","10.708E+03","6.160646E+03","-89.092"
"36","10.730E+03","6.148360E+03","-89.093"
"37","10.751E+03","6.136238E+03","-89.073"
"38","10.773E+03","6.124630E+03","-89.081"
"39","10.794E+03","6.111196E+03","-89.080"
"40","10.816E+03","6.100614E+03","-89.080"
"41","10.838E+03","6.087857E+03","-89.083"
"42","10.860E+03","6.074663E+03","-89.090"
"43","10.882E+03","6.062222E+03","-89.092"
"44","10.904E+03","6.049694E+03","-89.081"
"45","10.926E+03","6.038413E+03","-89.081"
"46","10.948E+03","6.026138E+03","-89.095"
"47","10.970E+03","6.014121E+03","-89.078"
"48","10.992E+03","6.001347E+03","-89.081"
"49","11.014E+03","5.989995E+03","-89.085"
"50","11.036E+03","5.978683E+03","-89.080"
"51","11.058E+03","5.967027E+03","-89.075"
"52","11.080E+03","5.955116E+03","-89.082"
"53","11.103E+03","5.941764E+03","-89.090"
"54","11.125E+03","5.930092E+03","-89.083"
"55","11.148E+03","5.917196E+03","-89.085"
"56","11.170E+03","5.906252E+03","-89.092"
"57","11.193E+03","5.893827E+03","-89.075"
"58","11.215E+03","5.882475E+03","-89.087"
"59","11.238E+03","5.870013E+03","-89.085"
"60","11.260E+03","5.860602E+03","-89.078"
"61","11.283E+03","5.847897E+03","-89.089"
"62","11.306E+03","5.835369E+03","-89.078"
"63","11.328E+03","5.824735E+03","-89.089"
"64","11.351E+03","5.812768E+03","-89.087"
"65","11.374E+03","5.800804E+03","-89.076"
"66","11.397E+03","5.788362E+03","-89.087"
"67","11.420E+03","5.777123E+03","-89.085"
"68","11.443E+03","5.764516E+03","-89.091"
"69","11.466E+03","5.755406E+03","-89.076"
"70","11.489E+03","5.742423E+03","-89.084"
"71","11.512E+03","5.730309E+03","-89.078"
"72","11.535E+03","5.720103E+03","-89.085"
"73","11.559E+03","5.707671E+03","-89.082"
"74","11.582E+03","5.695491E+03","-89.087"
"75","11.605E+03","5.684783E+03","-89.077"
"76","11.629E+03","5.674505E+03","-89.079"
"77","11.652E+03","5.662227E+03","-89.081"
"78","11.676E+03","5.650998E+03","-89.081"
"79","11.699E+03","5.638956E+03","-89.087"
"80","11.723E+03","5.627353E+03","-89.073"
"81","11.746E+03","5.617706E+03","-89.076"
"82","11.770E+03","5.604928E+03","-89.076"
"83","11.794E+03","5.593743E+03","-89.082"
"84","11.817E+03","5.583088E+03","-89.083"
"85","11.841E+03","5.572977E+03","-89.081"
"86","11.865E+03","5.561793E+03","-89.090"
"87","11.889E+03","5.549487E+03","-89.089"
"88","11.913E+03","5.539023E+03","-89.079"
"89","11.937E+03","5.526575E+03","-89.085"
"90","11.961E+03","5.514878E+03","-89.069"
"91","11.985E+03","5.503884E+03","-89.080"
"92","12.009E+03","5.493327E+03","-89.091"
"93","12.033E+03","5.483947E+03","-89.089"
"94","12.057E+03","5.472864E+03","-89.080"
"95","12.082E+03","5.461504E+03","-89.080"
"96","12.106E+03","5.450278E+03","-89.070"
"97","12.130E+03","5.439438E+03","-89.082"
"98","12.155E+03","5.427854E+03","-89.079"
"99","12.179E+03","5.417380E+03","-89.076"
"100","12.204E+03","5.407178E+03","-89.075"
"101","12.228E+03","5.395752E+03","-89.084"
"102","12.253E+03","5.384462E+03","-89.078"
"103","12.278E+03","5.373131E+03","-89.075"
"104","12.302E+03","5.363600E+03","-89.078"
"105","12.327E+03","5.352963E+03","-89.082"
"106","12.352E+03","5.341719E+03","-89.086"
"107","12.377E+03","5.330913E+03","-89.084"
"108","12.402E+03","5.319380E+03","-89.079"
"109","12.427E+03","5.310127E+03","-89.070"
"110","12.452E+03","5.298554E+03","-89.072"
"111","12.477E+03","5.287754E+03","-89.078"
"112","12.502E+03","5.277491E+03","-89.072"
"113","12.527E+03","5.266615E+03","-89.080"
"114","12.552E+03","5.256285E+03","-89.066"
"115","12.578E+03","5.246381E+03","-89.073"
"116","12.603E+03","5.235117E+03","-89.083"
"117","12.628E+03","5.224371E+03","-89.075"
"118","12.654E+03","5.213659E+03","-89.084"
"119","12.679E+03","5.203013E+03","-89.076"
"120","12.705E+03","5.193847E+03","-89.074"
"121","12.731E+03","5.182754E+03","-89.075"
"122","12.756E+03","5.172010E+03","-89.074"
"123","12.782E+03","5.161635E+03","-89.071"
"124","12.808E+03","5.152057E+03","-89.078"
"125","12.833E+03","5.141705E+03","-89.076"
"126","12.859E+03","5.130629E+03","-89.067"
"127","12.885E+03","5.121035E+03","-89.081"
"128","12.911E+03","5.110136E+03","-89.077"
"129","12.937E+03","5.100219E+03","-89.082"
"130","12.963E+03","5.089375E+03","-89.067"
"131","12.989E+03","5.079690E+03","-89.077"
"132","13.015E+03","5.069137E+03","-89.077"
"133","13.042E+03","5.059614E+03","-89.083"
"134","13.068E+03","5.050091E+03","-89.078"
"135","13.094E+03","5.039129E+03","-89.078"
"136","13.121E+03","5.028692E+03","-89.075"
"137","13.147E+03","5.018621E+03","-89.082"
"138","13.173E+03","5.008707E+03","-89.077"
"139","13.200E+03","4.998308E+03","-89.075"
"140","13.227E+03","4.987672E+03","-89.072"
"141","13.253E+03","4.978601E+03","-89.073"
"142","13.280E+03","4.968549E+03","-89.072"
"143","13.307E+03","4.957964E+03","-89.075"
"144","13.333E+03","4.948028E+03","-89.074"
"145","13.360E+03","4.937951E+03","-89.065"
"146","13.387E+03","4.928390E+03","-89.073"
"147","13.414E+03","4.917504E+03","-89.082"
"148","13.441E+03","4.908385E+03","-89.079"
"149","13.468E+03","4.898075E+03","-89.079"
"150","13.495E+03","4.888377E+03","-89.074"
"151","13.522E+03","4.878620E+03","-89.072"
"152","13.550E+03","4.868038E+03","-89.079"
"153","13.577E+03","4.858694E+03","-89.075"
"154","13.604E+03","4.848790E+03","-89.067"
"155","13.632E+03","4.839040E+03","-89.064"
"156","13.659E+03","4.829783E+03","-89.073"
"157","13.687E+03","4.819282E+03","-89.066"
"158","13.714E+03","4.809144E+03","-89.061"
"159","13.742E+03","4.799714E+03","-89.067"
"160","13.770E+03","4.789750E+03","-89.075"
"161","13.797E+03","4.781220E+03","-89.068"
"162","13.825E+03","4.770752E+03","-89.065"
"163","13.853E+03","4.760854E+03","-89.057"
"164","13.881E+03","4.751545E+03","-89.063"
"165","13.909E+03","4.742391E+03","-89.054"
"166","13.937E+03","4.733727E+03","-89.045"
"167","13.965E+03","4.724422E+03","-89.050"
"168","13.993E+03","4.714763E+03","-89.052"
"169","14.021E+03","4.705525E+03","-89.060"
"170","14.049E+03","4.696245E+03","-89.066"
"171","14.078E+03","4.687007E+03","-89.062"
"172","14.106E+03","4.677676E+03","-89.057"
"173","14.134E+03","4.668313E+03","-89.062"
"174","14.163E+03","4.658884E+03","-89.075"
"175","14.191E+03","4.648948E+03","-89.059"
"176","14.220E+03","4.639822E+03","-89.067"
"177","14.249E+03","4.629906E+03","-89.061"
"178","14.277E+03","4.620418E+03","-89.065"
"179","14.306E+03","4.610995E+03","-89.070"
"180","14.335E+03","4.602926E+03","-89.067"
"181","14.364E+03","4.592566E+03","-89.067"
"182","14.393E+03","4.583161E+03","-89.071"
"183","14.422E+03","4.574345E+03","-89.066"
"184","14.451E+03","4.565349E+03","-89.066"
"185","14.480E+03","4.556208E+03","-89.069"
"186","14.509E+03","4.546338E+03","-89.072"
"187","14.538E+03","4.537962E+03","-89.068"
"188","14.567E+03","4.527983E+03","-89.059"
"189","14.597E+03","4.519528E+03","-89.071"
"190","14.626E+03","4.509418E+03","-89.071"
"191","14.656E+03","4.500747E+03","-89.065"
"192","14.685E+03","4.491592E+03","-89.065"
"193","14.715E+03","4.481992E+03","-89.069"
"194","14.744E+03","4.473429E+03","-89.067"
"195","14.774E+03","4.464554E+03","-89.063"
