"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-27"
"TIME","18:43:01"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.100","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Y[S]","B[S]"
"111","688.45E+03","8.052149E-03","6.440111E-03"
"112","694.70E+03","8.149143E-03","6.602081E-03"
"113","700.96E+03","8.274528E-03","6.759069E-03"
"114","707.22E+03","8.382896E-03","6.883962E-03"
"115","713.48E+03","8.457841E-03","6.996604E-03"
"116","719.74E+03","8.584635E-03","7.147101E-03"
"117","725.99E+03","8.686844E-03","7.271293E-03"
"118","732.25E+03","8.800512E-03","7.405582E-03"
"119","738.51E+03","8.919658E-03","7.532486E-03"
"120","744.77E+03","9.026516E-03","7.663171E-03"
"121","751.02E+03","9.155734E-03","7.807718E-03"
"122","757.28E+03","9.289032E-03","7.954458E-03"
"123","763.54E+03","9.441462E-03","8.104870E-03"
"124","769.80E+03","9.571515E-03","8.239289E-03"
"125","776.05E+03","9.704136E-03","8.380900E-03"
"126","782.31E+03","9.867900E-03","8.542570E-03"
"127","788.57E+03","10.02091E-03","8.687307E-03"
"128","794.83E+03","10.17092E-03","8.837915E-03"
"129","801.09E+03","10.33449E-03","8.999657E-03"
"130","807.34E+03","10.51777E-03","9.174224E-03"
"131","813.60E+03","10.72134E-03","9.361681E-03"
"132","819.86E+03","10.92818E-03","9.529958E-03"
"133","826.12E+03","11.10142E-03","9.658881E-03"
"134","832.37E+03","11.28703E-03","9.803681E-03"
"135","838.63E+03","11.40478E-03","9.885628E-03"
"136","844.89E+03","11.59693E-03","10.05191E-03"
"137","851.15E+03","11.75450E-03","10.17150E-03"
"138","857.40E+03","11.92633E-03","10.30993E-03"
"139","863.66E+03","12.14448E-03","10.47480E-03"
"140","869.92E+03","12.30193E-03","10.51188E-03"
"141","876.18E+03","12.18858E-03","10.37553E-03"
"142","882.44E+03","12.13999E-03","10.46629E-03"
"143","888.69E+03","12.42374E-03","10.87813E-03"
"144","894.95E+03","12.88038E-03","11.34549E-03"
"145","901.21E+03","13.30994E-03","11.71009E-03"
"146","907.47E+03","13.68410E-03","12.01203E-03"
"147","913.72E+03","14.13670E-03","12.37844E-03"
"148","919.98E+03","14.55060E-03","12.64116E-03"
"149","926.24E+03","14.92754E-03","12.91335E-03"
"150","932.50E+03","15.35697E-03","13.19125E-03"
"151","938.75E+03","15.82077E-03","13.49768E-03"
"152","945.01E+03","16.37441E-03","13.75213E-03"
"153","951.27E+03","16.65193E-03","13.77406E-03"
"154","957.53E+03","16.85491E-03","13.86625E-03"
"155","963.79E+03","17.27445E-03","14.18786E-03"
"156","970.04E+03","18.22968E-03","14.98359E-03"
"157","976.30E+03","19.38950E-03","15.62703E-03"
"158","982.56E+03","20.48475E-03","16.12470E-03"
"159","988.82E+03","21.77269E-03","16.05608E-03"
"160","995.07E+03","22.23191E-03","15.10758E-03"
"161","1.0013E+06","22.95055E-03","14.31967E-03"
"162","1.0076E+06","23.02017E-03","12.92281E-03"
"163","1.0138E+06","23.53008E-03","11.65163E-03"
"164","1.0201E+06","23.02723E-03","9.111536E-03"
"165","1.0264E+06","22.09483E-03","6.982077E-03"
"166","1.0326E+06","20.77992E-03","5.004117E-03"
"167","1.0389E+06","19.58295E-03","3.479183E-03"
"168","1.0451E+06","18.38312E-03","2.357163E-03"
"169","1.0514E+06","17.19918E-03","1.489470E-03"
"170","1.0577E+06","16.04893E-03","831.9099E-06"
"171","1.0639E+06","14.81343E-03","644.2661E-06"
"172","1.0702E+06","14.12783E-03","368.6628E-06"
"173","1.0764E+06","13.26625E-03","-83.67719E-06"
"174","1.0827E+06","12.10904E-03","-214.2091E-06"
"175","1.0889E+06","11.23132E-03","-143.0638E-06"
"176","1.0952E+06","10.43771E-03","120.9661E-06"
"177","1.1015E+06","9.840353E-03","334.1246E-06"
"178","1.1077E+06","9.069141E-03","437.6647E-06"
"179","1.1140E+06","8.480686E-03","949.6756E-06"
"180","1.1202E+06","8.152421E-03","1.290111E-03"
"181","1.1265E+06","7.843510E-03","1.638781E-03"
"182","1.1327E+06","7.641420E-03","2.027607E-03"
"183","1.1390E+06","7.502574E-03","2.342411E-03"
"184","1.1453E+06","7.400503E-03","2.667306E-03"
"185","1.1515E+06","7.396740E-03","2.976020E-03"
"186","1.1578E+06","7.389693E-03","3.217387E-03"
"187","1.1640E+06","7.399620E-03","3.470223E-03"
"188","1.1703E+06","7.429103E-03","3.679472E-03"
"189","1.1765E+06","7.401718E-03","3.816646E-03"
"190","1.1828E+06","7.436190E-03","4.068401E-03"
"191","1.1891E+06","7.507001E-03","4.220589E-03"
"192","1.1953E+06","7.443834E-03","4.342995E-03"
"193","1.2016E+06","7.516818E-03","4.545781E-03"
"194","1.2078E+06","7.532377E-03","4.712664E-03"
"195","1.2141E+06","7.635146E-03","4.907995E-03"
"196","1.2204E+06","7.687386E-03","5.043844E-03"
"197","1.2266E+06","7.759336E-03","5.190973E-03"
"198","1.2329E+06","7.812490E-03","5.321634E-03"
"199","1.2391E+06","7.871083E-03","5.451579E-03"
"200","1.2454E+06","7.930602E-03","5.566385E-03"
"201","1.2516E+06","7.947804E-03","5.654201E-03"
"202","1.2579E+06","8.016230E-03","5.794748E-03"
"203","1.2642E+06","8.094752E-03","5.929022E-03"
"204","1.2704E+06","8.151798E-03","6.026623E-03"
"205","1.2767E+06","8.209744E-03","6.122818E-03"
"206","1.2829E+06","8.231384E-03","6.191094E-03"
"207","1.2892E+06","8.259474E-03","6.281318E-03"
"208","1.2954E+06","8.303039E-03","6.386988E-03"
"209","1.3017E+06","8.350943E-03","6.492959E-03"
"210","1.3080E+06","8.409799E-03","6.611919E-03"
"211","1.3142E+06","8.480052E-03","6.731871E-03"
"212","1.3205E+06","8.554793E-03","6.850073E-03"
"213","1.3267E+06","8.628772E-03","6.965216E-03"
"214","1.3330E+06","8.711768E-03","7.088105E-03"
"215","1.3392E+06","8.791299E-03","7.195323E-03"
"216","1.3455E+06","8.867339E-03","7.306379E-03"
"217","1.3518E+06","8.968092E-03","7.430694E-03"
"218","1.3580E+06","9.052806E-03","7.530403E-03"
"219","1.3643E+06","9.129198E-03","7.624510E-03"
"220","1.3705E+06","9.195467E-03","7.703203E-03"
"221","1.3768E+06","9.268471E-03","7.796082E-03"
"222","1.3831E+06","9.323954E-03","7.865878E-03"
"223","1.3893E+06","9.374920E-03","7.941431E-03"
"224","1.3956E+06","9.430158E-03","8.025726E-03"
"225","1.4018E+06","9.501945E-03","8.124570E-03"
"226","1.4081E+06","9.578771E-03","8.224322E-03"
"227","1.4143E+06","9.659557E-03","8.324318E-03"
"228","1.4206E+06","9.736681E-03","8.416780E-03"
"229","1.4269E+06","9.812770E-03","8.515572E-03"
"230","1.4331E+06","9.910734E-03","8.624544E-03"
"231","1.4394E+06","9.996133E-03","8.713934E-03"
"232","1.4456E+06","10.06915E-03","8.797564E-03"
"233","1.4519E+06","10.15495E-03","8.888740E-03"
"234","1.4581E+06","10.22893E-03","8.967548E-03"
"235","1.4644E+06","10.30380E-03","9.045207E-03"
"236","1.4707E+06","10.36411E-03","9.113638E-03"
"237","1.4769E+06","10.42792E-03","9.185277E-03"
"238","1.4832E+06","10.49464E-03","9.260733E-03"
"239","1.4894E+06","10.56795E-03","9.344363E-03"
"240","1.4957E+06","10.64199E-03","9.423211E-03"
"241","1.5019E+06","10.70967E-03","9.498140E-03"
"242","1.5082E+06","10.78395E-03","9.576828E-03"
"243","1.5145E+06","10.85709E-03","9.654024E-03"
"244","1.5207E+06","10.93397E-03","9.730328E-03"
"245","1.5270E+06","11.00530E-03","9.802404E-03"
"246","1.5332E+06","11.07397E-03","9.869936E-03"
"247","1.5395E+06","11.13741E-03","9.931028E-03"
"248","1.5458E+06","11.19489E-03","9.984374E-03"
"249","1.5520E+06","11.24118E-03","10.03090E-03"
"250","1.5583E+06","11.29039E-03","10.08364E-03"
"251","1.5645E+06","11.34307E-03","10.13783E-03"
"252","1.5708E+06","11.38661E-03","10.18018E-03"
"253","1.5770E+06","11.42150E-03","10.22128E-03"
"254","1.5833E+06","11.45759E-03","10.26820E-03"
"255","1.5896E+06","11.50542E-03","10.32806E-03"
"256","1.5958E+06","11.55703E-03","10.38567E-03"
"257","1.6021E+06","11.59714E-03","10.43716E-03"
"258","1.6083E+06","11.65453E-03","10.51001E-03"
"259","1.6146E+06","11.72850E-03","10.59066E-03"
"260","1.6208E+06","11.79181E-03","10.65670E-03"
