"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-29"
"TIME","10:19:43"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.150","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"1","5.0000E+03","13.12930E+03","-89.123"
"2","5.0144E+03","13.09224E+03","-89.123"
"3","5.0289E+03","13.05470E+03","-89.121"
"4","5.0434E+03","13.01768E+03","-89.122"
"5","5.0579E+03","12.97975E+03","-89.122"
"6","5.0725E+03","12.94338E+03","-89.122"
"7","5.0871E+03","12.90661E+03","-89.121"
"8","5.1018E+03","12.86985E+03","-89.119"
"9","5.1165E+03","12.83270E+03","-89.121"
"10","5.1312E+03","12.79631E+03","-89.120"
"11","5.1460E+03","12.75959E+03","-89.120"
"12","5.1608E+03","12.72351E+03","-89.118"
"13","5.1757E+03","12.68703E+03","-89.122"
"14","5.1906E+03","12.65104E+03","-89.119"
"15","5.2056E+03","12.61434E+03","-89.121"
"16","5.2206E+03","12.57852E+03","-89.121"
"17","5.2356E+03","12.54239E+03","-89.122"
"18","5.2507E+03","12.50713E+03","-89.123"
"19","5.2659E+03","12.47122E+03","-89.122"
"20","5.2810E+03","12.43626E+03","-89.121"
"21","5.2963E+03","12.39895E+03","-89.119"
"22","5.3115E+03","12.36466E+03","-89.120"
"23","5.3268E+03","12.32982E+03","-89.127"
"24","5.3422E+03","12.29534E+03","-89.123"
"25","5.3576E+03","12.25930E+03","-89.119"
"26","5.3730E+03","12.22429E+03","-89.119"
"27","5.3885E+03","12.19000E+03","-89.121"
"28","5.4041E+03","12.15420E+03","-89.120"
"29","5.4196E+03","12.11971E+03","-89.123"
"30","5.4353E+03","12.08588E+03","-89.118"
"31","5.4509E+03","12.05157E+03","-89.120"
"32","5.4666E+03","12.01727E+03","-89.119"
"33","5.4824E+03","11.98233E+03","-89.115"
"34","5.4982E+03","11.94820E+03","-89.121"
"35","5.5140E+03","11.91422E+03","-89.120"
"36","5.5299E+03","11.87939E+03","-89.120"
"37","5.5459E+03","11.84707E+03","-89.118"
"38","5.5619E+03","11.81287E+03","-89.122"
"39","5.5779E+03","11.77833E+03","-89.120"
"40","5.5940E+03","11.74578E+03","-89.120"
