"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-29"
"TIME","10:13:26"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.150","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","G[S]","B[S]"
"108","10.722E+03","2.618917E-06","162.5865E-06"
"109","10.799E+03","2.645547E-06","163.7877E-06"
"110","10.876E+03","2.634023E-06","164.9443E-06"
"111","10.954E+03","2.671217E-06","166.1052E-06"
"112","11.032E+03","2.704130E-06","167.2738E-06"
"113","11.111E+03","2.710135E-06","168.4867E-06"
"114","11.191E+03","2.785502E-06","169.6587E-06"
"115","11.271E+03","2.770190E-06","170.9007E-06"
"116","11.352E+03","2.794524E-06","172.1505E-06"
"117","11.433E+03","2.801252E-06","173.3620E-06"
"118","11.515E+03","2.842716E-06","174.6019E-06"
"119","11.597E+03","2.841341E-06","175.8553E-06"
"120","11.680E+03","2.863573E-06","177.1186E-06"
"121","11.764E+03","2.889362E-06","178.3701E-06"
"122","11.848E+03","2.910688E-06","179.6460E-06"
"123","11.932E+03","2.938231E-06","180.9144E-06"
"124","12.018E+03","2.947327E-06","182.1980E-06"
"125","12.104E+03","2.969792E-06","183.5708E-06"
"126","12.190E+03","3.018518E-06","184.8330E-06"
"127","12.278E+03","3.046010E-06","186.1699E-06"
"128","12.366E+03","3.044753E-06","187.4904E-06"
"129","12.454E+03","3.077444E-06","188.8495E-06"
"130","12.543E+03","3.127603E-06","190.2033E-06"
"131","12.633E+03","3.133624E-06","191.5466E-06"
"132","12.723E+03","3.154347E-06","192.9262E-06"
"133","12.814E+03","3.182794E-06","194.2928E-06"
"134","12.906E+03","3.191951E-06","195.7137E-06"
"135","12.998E+03","3.224685E-06","197.0957E-06"
"136","13.091E+03","3.258938E-06","198.5292E-06"
"137","13.185E+03","3.274286E-06","199.9520E-06"
"138","13.279E+03","3.285291E-06","201.3668E-06"
"139","13.374E+03","3.286745E-06","202.8155E-06"
"140","13.470E+03","3.312764E-06","204.2833E-06"
"141","13.566E+03","3.376161E-06","205.7298E-06"
"142","13.664E+03","3.396719E-06","207.2380E-06"
"143","13.761E+03","3.435886E-06","208.7013E-06"
"144","13.860E+03","3.479775E-06","210.2143E-06"
"145","13.959E+03","3.529417E-06","211.6619E-06"
"146","14.059E+03","3.527922E-06","213.1515E-06"
"147","14.159E+03","3.517259E-06","214.6977E-06"
"148","14.261E+03","3.565405E-06","216.2605E-06"
"149","14.363E+03","3.568345E-06","217.8197E-06"
"150","14.466E+03","3.619859E-06","219.3651E-06"
"151","14.569E+03","3.606957E-06","220.9654E-06"
"152","14.673E+03","3.640206E-06","222.5600E-06"
"153","14.778E+03","3.666731E-06","224.1415E-06"
"154","14.884E+03","3.708242E-06","225.7643E-06"
"155","14.990E+03","3.756682E-06","227.3753E-06"
"156","15.098E+03","3.777618E-06","229.0332E-06"
"157","15.206E+03","3.777443E-06","230.6903E-06"
"158","15.315E+03","3.826590E-06","232.3263E-06"
"159","15.424E+03","3.831856E-06","234.0052E-06"
"160","15.535E+03","3.861376E-06","235.7072E-06"
"161","15.646E+03","3.907333E-06","237.3973E-06"
"162","15.758E+03","3.956970E-06","239.1011E-06"
"163","15.870E+03","3.981680E-06","240.8405E-06"
"164","15.984E+03","4.007197E-06","242.5481E-06"
"165","16.098E+03","4.036056E-06","244.2960E-06"
"166","16.213E+03","4.045551E-06","246.0700E-06"
"167","16.329E+03","4.090888E-06","247.8268E-06"
"168","16.446E+03","4.145417E-06","249.6192E-06"
"169","16.564E+03","4.164066E-06","251.4330E-06"
"170","16.683E+03","4.192687E-06","253.2576E-06"
"171","16.802E+03","4.211234E-06","255.0700E-06"
"172","16.922E+03","4.285441E-06","256.8995E-06"
"173","17.043E+03","4.287662E-06","258.7617E-06"
"174","17.165E+03","4.304641E-06","260.6556E-06"
"175","17.288E+03","4.344958E-06","262.5173E-06"
"176","17.412E+03","4.373024E-06","264.4009E-06"
"177","17.536E+03","4.425559E-06","266.2975E-06"
"178","17.662E+03","4.435186E-06","268.2540E-06"
"179","17.788E+03","4.490951E-06","270.1726E-06"
"180","17.915E+03","4.507841E-06","272.1309E-06"
"181","18.044E+03","4.544267E-06","274.1338E-06"
"182","18.173E+03","4.581718E-06","276.1186E-06"
"183","18.303E+03","4.617673E-06","278.1021E-06"
"184","18.434E+03","4.676729E-06","280.0951E-06"
"185","18.566E+03","4.705400E-06","282.1567E-06"
"186","18.698E+03","4.752541E-06","284.1627E-06"
"187","18.832E+03","4.742113E-06","286.2262E-06"
"188","18.967E+03","4.804720E-06","288.3420E-06"
"189","19.103E+03","4.813930E-06","290.4367E-06"
"190","19.239E+03","4.881769E-06","292.5450E-06"
"191","19.377E+03","4.910029E-06","294.6505E-06"
"192","19.516E+03","4.963870E-06","296.8113E-06"
"193","19.655E+03","4.996561E-06","298.9507E-06"
"194","19.796E+03","5.020164E-06","301.1326E-06"
"195","19.938E+03","5.059129E-06","303.3303E-06"
"196","20.080E+03","5.080762E-06","305.5306E-06"
"197","20.224E+03","5.163106E-06","307.7536E-06"
"198","20.369E+03","5.210349E-06","310.0087E-06"
"199","20.514E+03","5.243323E-06","312.2248E-06"
"200","20.661E+03","5.289556E-06","314.5165E-06"
"201","20.809E+03","5.288047E-06","316.8187E-06"
"202","20.958E+03","5.352120E-06","319.1104E-06"
"203","21.108E+03","5.397769E-06","321.4587E-06"
"204","21.259E+03","5.417332E-06","323.7809E-06"
"205","21.411E+03","5.454299E-06","326.1777E-06"
"206","21.564E+03","5.516620E-06","328.5438E-06"
