"HIOKI E.E. CORPORATION","IM3570","Ver. 3.11"

"DATE","23-03-29"
"TIME","10:17:40"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.0000","s"
"DCBIAS","OFF"

"V","0.150","V"
"RANGE","AUTO"
"SPEED","MED"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[Ħ]","G[S]"
"1","500.00E+03","206.7139E+00","827.1268E-06"
"2","500.69E+03","207.6646E+00","881.0752E-06"
"3","501.38E+03","209.3880E+00","923.7104E-06"
"4","502.06E+03","211.7923E+00","951.1114E-06"
"5","502.75E+03","214.9346E+00","958.7796E-06"
"6","503.44E+03","218.5860E+00","940.6922E-06"
"7","504.14E+03","222.3060E+00","894.4547E-06"
"8","504.83E+03","225.3406E+00","826.5004E-06"
"9","505.52E+03","227.1813E+00","747.5198E-06"
"10","506.22E+03","227.6503E+00","668.6534E-06"
"11","506.91E+03","226.8960E+00","599.7620E-06"
"12","507.61E+03","225.2968E+00","544.1101E-06"
"13","508.31E+03","223.2244E+00","504.2584E-06"
"14","509.01E+03","221.0099E+00","479.4018E-06"
"15","509.71E+03","218.9339E+00","467.5497E-06"
"16","510.41E+03","217.2050E+00","464.6083E-06"
"17","511.11E+03","215.8701E+00","465.3947E-06"
"18","511.81E+03","214.9088E+00","466.6226E-06"
"19","512.51E+03","214.2407E+00","464.6280E-06"
"20","513.22E+03","213.7446E+00","456.7219E-06"
"21","513.92E+03","213.2269E+00","441.8957E-06"
"22","514.63E+03","212.4726E+00","422.7046E-06"
"23","515.34E+03","211.4291E+00","403.1829E-06"
"24","516.04E+03","210.1673E+00","385.6821E-06"
"25","516.75E+03","208.6916E+00","371.0696E-06"
"26","517.46E+03","207.0578E+00","360.6393E-06"
"27","518.17E+03","205.2800E+00","355.1209E-06"
"28","518.89E+03","203.3972E+00","356.3075E-06"
"29","519.60E+03","201.5374E+00","364.5860E-06"
"30","520.31E+03","199.7322E+00","380.7327E-06"
"31","521.03E+03","198.0338E+00","404.8183E-06"
"32","521.75E+03","196.5555E+00","436.5041E-06"
"33","522.46E+03","195.3781E+00","473.8120E-06"
"34","523.18E+03","194.5693E+00","515.7313E-06"
"35","523.90E+03","194.2017E+00","558.0577E-06"
"36","524.62E+03","194.2758E+00","595.9129E-06"
"37","525.34E+03","194.7123E+00","625.4704E-06"
"38","526.06E+03","195.3457E+00","645.2794E-06"
"39","526.78E+03","196.0221E+00","657.2471E-06"
"40","527.51E+03","196.7011E+00","663.7367E-06"
"41","528.23E+03","197.4401E+00","666.5630E-06"
"42","528.96E+03","198.3370E+00","664.4436E-06"
"43","529.69E+03","199.4157E+00","651.9276E-06"
"44","530.41E+03","200.4322E+00","626.1920E-06"
"45","531.14E+03","201.0927E+00","588.6419E-06"
"46","531.87E+03","201.1766E+00","547.2173E-06"
"47","532.60E+03","200.7290E+00","508.3470E-06"
"48","533.34E+03","199.9068E+00","475.0694E-06"
"49","534.07E+03","198.8941E+00","448.4523E-06"
"50","534.80E+03","197.8156E+00","427.0067E-06"
"51","535.54E+03","196.7071E+00","407.0667E-06"
"52","536.27E+03","195.5491E+00","387.9271E-06"
"53","537.01E+03","194.2188E+00","369.5035E-06"
"54","537.75E+03","192.7198E+00","354.5042E-06"
"55","538.49E+03","191.0909E+00","344.0500E-06"
"56","539.23E+03","189.3920E+00","339.9486E-06"
"57","539.97E+03","187.6919E+00","342.0836E-06"
"58","540.71E+03","186.0514E+00","349.7668E-06"
"59","541.45E+03","184.4944E+00","362.1234E-06"
"60","542.20E+03","183.0288E+00","377.9561E-06"
"61","542.94E+03","181.6603E+00","395.9445E-06"
"62","543.69E+03","180.3446E+00","416.5225E-06"
"63","544.44E+03","179.0761E+00","440.2812E-06"
"64","545.18E+03","177.8946E+00","467.6391E-06"
"65","545.93E+03","176.8527E+00","499.9855E-06"
"66","546.68E+03","176.0473E+00","534.8186E-06"
"67","547.43E+03","175.5411E+00","567.0634E-06"
"68","548.19E+03","175.2623E+00","591.0088E-06"
"69","548.94E+03","175.0439E+00","602.9156E-06"
"70","549.69E+03","174.6679E+00","604.1516E-06"
"71","550.45E+03","173.9322E+00","599.8218E-06"
"72","551.21E+03","172.7812E+00","596.1850E-06"
"73","551.96E+03","171.2541E+00","600.0241E-06"
"74","552.72E+03","169.4367E+00","615.8675E-06"
"75","553.48E+03","167.4808E+00","646.4907E-06"
"76","554.24E+03","165.5129E+00","692.7124E-06"
"77","555.00E+03","163.6432E+00","754.5608E-06"
"78","555.77E+03","161.9359E+00","831.7928E-06"
"79","556.53E+03","160.5228E+00","920.0063E-06"
"80","557.30E+03","159.4146E+00","1.018074E-03"
"81","558.06E+03","158.6659E+00","1.120292E-03"
"82","558.83E+03","158.2628E+00","1.224833E-03"
"83","559.60E+03","158.2228E+00","1.328026E-03"
"84","560.37E+03","158.5451E+00","1.426060E-03"
"85","561.14E+03","159.2142E+00","1.514718E-03"
"86","561.91E+03","160.1730E+00","1.590890E-03"
"87","562.68E+03","161.2954E+00","1.653686E-03"
"88","563.45E+03","162.4659E+00","1.702639E-03"
"89","564.23E+03","163.4486E+00","1.744930E-03"
"90","565.00E+03","164.0610E+00","1.790247E-03"
"91","565.78E+03","164.3544E+00","1.852639E-03"
"92","566.56E+03","164.5767E+00","1.939250E-03"
"93","567.33E+03","165.0857E+00","2.052520E-03"
"94","568.11E+03","166.5435E+00","2.187611E-03"
"95","568.89E+03","169.7563E+00","2.320422E-03"
"96","569.68E+03","175.7650E+00","2.401310E-03"
"97","570.46E+03","184.6276E+00","2.383716E-03"
"98","571.24E+03","195.5061E+00","2.258533E-03"
"99","572.03E+03","206.6857E+00","2.054589E-03"
"100","572.81E+03","215.9393E+00","1.822994E-03"
"101","573.60E+03","222.4023E+00","1.595386E-03"
"102","574.39E+03","225.8966E+00","1.391082E-03"
"103","575.18E+03","227.1432E+00","1.216551E-03"
"104","575.97E+03","226.8413E+00","1.066014E-03"
"105","576.76E+03","225.3755E+00","935.6524E-06"
"106","577.55E+03","222.9890E+00","823.9372E-06"
"107","578.35E+03","219.9378E+00","730.7863E-06"
"108","579.14E+03","216.5949E+00","658.0598E-06"
"109","579.94E+03","213.1810E+00","601.6575E-06"
"110","580.73E+03","209.9570E+00","561.3418E-06"
"111","581.53E+03","206.9929E+00","532.3022E-06"
"112","582.33E+03","204.3792E+00","511.2012E-06"
"113","583.13E+03","202.0797E+00","493.9486E-06"
"114","583.93E+03","199.9993E+00","479.0986E-06"
"115","584.74E+03","198.0093E+00","466.0341E-06"
"116","585.54E+03","196.1086E+00","455.9849E-06"
"117","586.34E+03","194.2831E+00","450.3032E-06"
"118","587.15E+03","192.5585E+00","450.5892E-06"
"119","587.96E+03","191.0756E+00","456.0095E-06"
"120","588.76E+03","189.9513E+00","462.9261E-06"
"121","589.57E+03","189.1601E+00","466.6045E-06"
"122","590.38E+03","188.5676E+00","461.8382E-06"
"123","591.20E+03","187.9229E+00","448.0816E-06"
"124","592.01E+03","187.0803E+00","430.6280E-06"
"125","592.82E+03","186.0345E+00","413.3627E-06"
"126","593.64E+03","184.8531E+00","398.8502E-06"
"127","594.45E+03","183.6310E+00","387.8321E-06"
"128","595.27E+03","182.3718E+00","378.7462E-06"
"129","596.09E+03","181.0911E+00","372.1144E-06"
"130","596.91E+03","179.7906E+00","368.0981E-06"
"131","597.73E+03","178.5202E+00","367.2182E-06"
"132","598.55E+03","177.2837E+00","368.9398E-06"
"133","599.37E+03","176.0894E+00","372.2029E-06"
"134","600.19E+03","174.9079E+00","376.2161E-06"
"135","601.02E+03","173.6922E+00","383.4468E-06"
"136","601.84E+03","172.5323E+00","395.3571E-06"
"137","602.67E+03","171.4910E+00","411.8259E-06"
"138","603.50E+03","170.6675E+00","428.8275E-06"
"139","604.33E+03","170.0070E+00","441.4267E-06"
"140","605.16E+03","169.4009E+00","447.9235E-06"
"141","605.99E+03","168.7061E+00","449.8600E-06"
"142","606.82E+03","167.8743E+00","449.7477E-06"
"143","607.66E+03","166.8873E+00","450.2084E-06"
"144","608.49E+03","165.7487E+00","453.8770E-06"
"145","609.33E+03","164.4372E+00","463.5977E-06"
"146","610.17E+03","163.0178E+00","483.1601E-06"
